in s,C1 in V
-1.18296E-05,2.68555E-01
-1.18292E-05,1.22070E-01
-1.18288E-05,1.70898E-01
-1.18284E-05,1.70898E-01
-1.18280E-05,1.70898E-01
-1.18276E-05,1.22070E-01
-1.18272E-05,1.70898E-01
-1.18268E-05,3.17383E-01
-1.18264E-05,2.68555E-01
-1.18260E-05,3.17383E-01
-1.18256E-05,3.17383E-01
-1.18252E-05,1.70898E-01
-1.18248E-05,2.19727E-01
-1.18244E-05,2.19727E-01
-1.18240E-05,2.68555E-01
-1.18236E-05,2.68555E-01
-1.18232E-05,2.68555E-01
-1.18228E-05,7.32422E-02
-1.18224E-05,1.70898E-01
-1.18220E-05,7.32422E-02
-1.18216E-05,2.19727E-01
-1.18212E-05,2.44141E-02
-1.18208E-05,1.70898E-01
-1.18204E-05,3.66211E-01
-1.18200E-05,3.66211E-01
-1.18196E-05,3.17383E-01
-1.18192E-05,2.19727E-01
-1.18188E-05,3.66211E-01
-1.18184E-05,1.22070E-01
-1.18180E-05,1.22070E-01
-1.18176E-05,2.19727E-01
-1.18172E-05,1.22070E-01
-1.18168E-05,3.66211E-01
-1.18164E-05,2.19727E-01
-1.18160E-05,3.17383E-01
-1.18156E-05,1.70898E-01
-1.18152E-05,1.22070E-01
-1.18148E-05,7.32422E-02
-1.18144E-05,2.19727E-01
-1.18140E-05,3.17383E-01
-1.18136E-05,2.19727E-01
-1.18132E-05,3.17383E-01
-1.18128E-05,2.19727E-01
-1.18124E-05,1.70898E-01
-1.18120E-05,2.19727E-01
-1.18116E-05,1.70898E-01
-1.18112E-05,3.66211E-01
-1.18108E-05,4.63867E-01
-1.18104E-05,4.15039E-01
-1.18100E-05,4.15039E-01
-1.18096E-05,3.17383E-01
-1.18092E-05,3.66211E-01
-1.18088E-05,2.68555E-01
-1.18084E-05,4.63867E-01
-1.18080E-05,5.12695E-01
-1.18076E-05,5.12695E-01
-1.18072E-05,5.61523E-01
-1.18068E-05,3.66211E-01
-1.18064E-05,3.17383E-01
-1.18060E-05,4.63867E-01
-1.18056E-05,4.15039E-01
-1.18052E-05,5.12695E-01
-1.18048E-05,5.12695E-01
-1.18044E-05,5.61523E-01
-1.18040E-05,5.61523E-01
-1.18036E-05,6.59180E-01
-1.18032E-05,5.61523E-01
-1.18028E-05,6.10352E-01
-1.18024E-05,6.59180E-01
-1.18020E-05,5.61523E-01
-1.18016E-05,7.08008E-01
-1.18012E-05,8.05664E-01
-1.18008E-05,8.05664E-01
-1.18004E-05,7.08008E-01
-1.18000E-05,8.54492E-01
-1.17996E-05,7.56836E-01
-1.17992E-05,7.56836E-01
-1.17988E-05,8.05664E-01
-1.17984E-05,9.03320E-01
-1.17980E-05,9.03320E-01
-1.17976E-05,8.54492E-01
-1.17972E-05,1.00098E+00
-1.17968E-05,7.56836E-01
-1.17964E-05,1.00098E+00
-1.17960E-05,8.54492E-01
-1.17956E-05,8.05664E-01
-1.17952E-05,9.03320E-01
-1.17948E-05,9.03320E-01
-1.17944E-05,9.52148E-01
-1.17940E-05,9.03320E-01
-1.17936E-05,8.54492E-01
-1.17932E-05,7.56836E-01
-1.17928E-05,7.08008E-01
-1.17924E-05,9.03320E-01
-1.17920E-05,9.03320E-01
-1.17916E-05,9.03320E-01
-1.17912E-05,8.54492E-01
-1.17908E-05,8.05664E-01
-1.17904E-05,9.03320E-01
-1.17900E-05,8.05664E-01
-1.17896E-05,8.05664E-01
-1.17892E-05,7.08008E-01
-1.17888E-05,8.05664E-01
-1.17884E-05,8.54492E-01
-1.17880E-05,7.08008E-01
-1.17876E-05,8.54492E-01
-1.17872E-05,7.08008E-01
-1.17868E-05,6.10352E-01
-1.17864E-05,6.10352E-01
-1.17860E-05,7.08008E-01
-1.17856E-05,6.59180E-01
-1.17852E-05,6.10352E-01
-1.17848E-05,4.63867E-01
-1.17844E-05,7.08008E-01
-1.17840E-05,4.15039E-01
-1.17836E-05,3.17383E-01
-1.17832E-05,3.66211E-01
-1.17828E-05,3.17383E-01
-1.17824E-05,4.63867E-01
-1.17820E-05,3.66211E-01
-1.17816E-05,4.15039E-01
-1.17812E-05,4.15039E-01
-1.17808E-05,4.63867E-01
-1.17804E-05,1.70898E-01
-1.17800E-05,1.22070E-01
-1.17796E-05,2.19727E-01
-1.17792E-05,2.68555E-01
-1.17788E-05,3.17383E-01
-1.17784E-05,2.68555E-01
-1.17780E-05,3.17383E-01
-1.17776E-05,2.19727E-01
-1.17772E-05,1.22070E-01
-1.17768E-05,2.68555E-01
-1.17764E-05,1.70898E-01
-1.17760E-05,3.66211E-01
-1.17756E-05,3.17383E-01
-1.17752E-05,2.68555E-01
-1.17748E-05,2.19727E-01
-1.17744E-05,3.66211E-01
-1.17740E-05,3.17383E-01
-1.17736E-05,2.68555E-01
-1.17732E-05,2.68555E-01
-1.17728E-05,2.19727E-01
-1.17724E-05,2.68555E-01
-1.17720E-05,3.17383E-01
-1.17716E-05,3.17383E-01
-1.17712E-05,1.22070E-01
-1.17708E-05,7.32422E-02
-1.17704E-05,2.68555E-01
-1.17700E-05,3.17383E-01
-1.17696E-05,1.70898E-01
-1.17692E-05,3.17383E-01
-1.17688E-05,2.68555E-01
-1.17684E-05,3.17383E-01
-1.17680E-05,2.19727E-01
-1.17676E-05,1.22070E-01
-1.17672E-05,1.22070E-01
-1.17668E-05,2.19727E-01
-1.17664E-05,2.68555E-01
-1.17660E-05,1.70898E-01
-1.17656E-05,1.70898E-01
-1.17652E-05,2.68555E-01
-1.17648E-05,1.70898E-01
-1.17644E-05,2.44141E-02
-1.17640E-05,1.70898E-01
-1.17636E-05,2.19727E-01
-1.17632E-05,3.17383E-01
-1.17628E-05,1.70898E-01
-1.17624E-05,2.68555E-01
-1.17620E-05,3.17383E-01
-1.17616E-05,1.70898E-01
-1.17612E-05,2.68555E-01
-1.17608E-05,1.22070E-01
-1.17604E-05,1.70898E-01
-1.17600E-05,2.44141E-02
-1.17596E-05,7.32422E-02
-1.17592E-05,2.19727E-01
-1.17588E-05,2.19727E-01
-1.17584E-05,2.44141E-02
-1.17580E-05,1.70898E-01
-1.17576E-05,1.70898E-01
-1.17572E-05,1.70898E-01
-1.17568E-05,2.19727E-01
-1.17564E-05,2.68555E-01
-1.17560E-05,1.70898E-01
-1.17556E-05,1.70898E-01
-1.17552E-05,1.70898E-01
-1.17548E-05,1.70898E-01
-1.17544E-05,1.70898E-01
-1.17540E-05,2.19727E-01
-1.17536E-05,1.70898E-01
-1.17532E-05,1.22070E-01
-1.17528E-05,1.22070E-01
-1.17524E-05,2.68555E-01
-1.17520E-05,1.22070E-01
-1.17516E-05,2.44141E-02
-1.17512E-05,1.70898E-01
-1.17508E-05,2.19727E-01
-1.17504E-05,3.66211E-01
-1.17500E-05,2.68555E-01
-1.17496E-05,2.68555E-01
-1.17492E-05,2.19727E-01
-1.17488E-05,2.44141E-02
-1.17484E-05,1.22070E-01
-1.17480E-05,7.32422E-02
-1.17476E-05,1.70898E-01
-1.17472E-05,1.70898E-01
-1.17468E-05,1.70898E-01
-1.17464E-05,3.17383E-01
-1.17460E-05,1.70898E-01
-1.17456E-05,1.70898E-01
-1.17452E-05,1.70898E-01
-1.17448E-05,7.32422E-02
-1.17444E-05,1.22070E-01
-1.17440E-05,2.68555E-01
-1.17436E-05,2.19727E-01
-1.17432E-05,1.70898E-01
-1.17428E-05,2.44141E-02
-1.17424E-05,2.44141E-02
-1.17420E-05,1.70898E-01
-1.17416E-05,1.22070E-01
-1.17412E-05,1.22070E-01
-1.17408E-05,1.70898E-01
-1.17404E-05,7.32422E-02
-1.17400E-05,2.68555E-01
-1.17396E-05,1.70898E-01
-1.17392E-05,2.19727E-01
-1.17388E-05,7.32422E-02
-1.17384E-05,1.70898E-01
-1.17380E-05,1.70898E-01
-1.17376E-05,1.70898E-01
-1.17372E-05,1.70898E-01
-1.17368E-05,2.68555E-01
-1.17364E-05,7.32422E-02
-1.17360E-05,2.19727E-01
-1.17356E-05,1.70898E-01
-1.17352E-05,1.70898E-01
-1.17348E-05,1.70898E-01
-1.17344E-05,1.70898E-01
-1.17340E-05,1.22070E-01
-1.17336E-05,2.68555E-01
-1.17332E-05,1.70898E-01
-1.17328E-05,2.68555E-01
-1.17324E-05,2.68555E-01
-1.17320E-05,7.32422E-02
-1.17316E-05,7.32422E-02
-1.17312E-05,2.68555E-01
-1.17308E-05,3.17383E-01
-1.17304E-05,2.19727E-01
-1.17300E-05,2.19727E-01
-1.17296E-05,2.68555E-01
-1.17292E-05,2.68555E-01
-1.17288E-05,2.19727E-01
-1.17284E-05,1.70898E-01
-1.17280E-05,1.22070E-01
-1.17276E-05,2.19727E-01
-1.17272E-05,1.70898E-01
-1.17268E-05,2.68555E-01
-1.17264E-05,1.70898E-01
-1.17260E-05,2.19727E-01
-1.17256E-05,1.70898E-01
-1.17252E-05,7.32422E-02
-1.17248E-05,2.68555E-01
-1.17244E-05,2.68555E-01
-1.17240E-05,2.19727E-01
-1.17236E-05,3.66211E-01
-1.17232E-05,4.15039E-01
-1.17228E-05,3.66211E-01
-1.17224E-05,3.17383E-01
-1.17220E-05,3.66211E-01
-1.17216E-05,2.68555E-01
-1.17212E-05,1.70898E-01
-1.17208E-05,1.70898E-01
-1.17204E-05,3.66211E-01
-1.17200E-05,1.22070E-01
-1.17196E-05,2.44141E-02
-1.17192E-05,7.32422E-02
-1.17188E-05,1.22070E-01
-1.17184E-05,2.68555E-01
-1.17180E-05,2.19727E-01
-1.17176E-05,1.70898E-01
-1.17172E-05,2.19727E-01
-1.17168E-05,4.63867E-01
-1.17164E-05,2.68555E-01
-1.17160E-05,2.19727E-01
-1.17156E-05,2.19727E-01
-1.17152E-05,2.68555E-01
-1.17148E-05,2.19727E-01
-1.17144E-05,2.68555E-01
-1.17140E-05,2.68555E-01
-1.17136E-05,2.68555E-01
-1.17132E-05,7.32422E-02
-1.17128E-05,3.17383E-01
-1.17124E-05,4.63867E-01
-1.17120E-05,3.66211E-01
-1.17116E-05,3.66211E-01
-1.17112E-05,3.17383E-01
-1.17108E-05,3.66211E-01
-1.17104E-05,3.66211E-01
-1.17100E-05,3.66211E-01
-1.17096E-05,4.63867E-01
-1.17092E-05,4.15039E-01
-1.17088E-05,5.12695E-01
-1.17084E-05,4.15039E-01
-1.17080E-05,5.61523E-01
-1.17076E-05,4.63867E-01
-1.17072E-05,5.61523E-01
-1.17068E-05,4.15039E-01
-1.17064E-05,4.15039E-01
-1.17060E-05,7.08008E-01
-1.17056E-05,7.08008E-01
-1.17052E-05,7.56836E-01
-1.17048E-05,7.08008E-01
-1.17044E-05,6.59180E-01
-1.17040E-05,7.08008E-01
-1.17036E-05,7.08008E-01
-1.17032E-05,7.08008E-01
-1.17028E-05,5.12695E-01
-1.17024E-05,6.59180E-01
-1.17020E-05,8.05664E-01
-1.17016E-05,7.08008E-01
-1.17012E-05,9.03320E-01
-1.17008E-05,7.08008E-01
-1.17004E-05,9.03320E-01
-1.17000E-05,7.56836E-01
-1.16996E-05,1.04980E+00
-1.16992E-05,9.03320E-01
-1.16988E-05,8.05664E-01
-1.16984E-05,7.56836E-01
-1.16980E-05,9.03320E-01
-1.16976E-05,1.04980E+00
-1.16972E-05,9.03320E-01
-1.16968E-05,1.09863E+00
-1.16964E-05,9.52148E-01
-1.16960E-05,9.03320E-01
-1.16956E-05,9.52148E-01
-1.16952E-05,9.03320E-01
-1.16948E-05,8.54492E-01
-1.16944E-05,8.05664E-01
-1.16940E-05,9.52148E-01
-1.16936E-05,1.00098E+00
-1.16932E-05,9.03320E-01
-1.16928E-05,9.03320E-01
-1.16924E-05,9.03320E-01
-1.16920E-05,1.09863E+00
-1.16916E-05,8.05664E-01
-1.16912E-05,9.52148E-01
-1.16908E-05,9.03320E-01
-1.16904E-05,9.52148E-01
-1.16900E-05,8.05664E-01
-1.16896E-05,7.08008E-01
-1.16892E-05,6.10352E-01
-1.16888E-05,8.05664E-01
-1.16884E-05,6.59180E-01
-1.16880E-05,6.10352E-01
-1.16876E-05,4.63867E-01
-1.16872E-05,5.12695E-01
-1.16868E-05,5.61523E-01
-1.16864E-05,6.10352E-01
-1.16860E-05,6.10352E-01
-1.16856E-05,5.12695E-01
-1.16852E-05,4.15039E-01
-1.16848E-05,5.12695E-01
-1.16844E-05,3.66211E-01
-1.16840E-05,3.66211E-01
-1.16836E-05,3.66211E-01
-1.16832E-05,2.68555E-01
-1.16828E-05,3.66211E-01
-1.16824E-05,2.68555E-01
-1.16820E-05,3.17383E-01
-1.16816E-05,2.19727E-01
-1.16812E-05,2.19727E-01
-1.16808E-05,2.68555E-01
-1.16804E-05,2.68555E-01
-1.16800E-05,2.19727E-01
-1.16796E-05,1.70898E-01
-1.16792E-05,2.19727E-01
-1.16788E-05,2.68555E-01
-1.16784E-05,3.17383E-01
-1.16780E-05,3.17383E-01
-1.16776E-05,7.32422E-02
-1.16772E-05,3.17383E-01
-1.16768E-05,3.17383E-01
-1.16764E-05,2.68555E-01
-1.16760E-05,2.68555E-01
-1.16756E-05,3.17383E-01
-1.16752E-05,2.68555E-01
-1.16748E-05,1.22070E-01
-1.16744E-05,3.17383E-01
-1.16740E-05,4.15039E-01
-1.16736E-05,2.68555E-01
-1.16732E-05,3.17383E-01
-1.16728E-05,3.17383E-01
-1.16724E-05,2.68555E-01
